index	mg	eg
465	60	151
466	66	158
467	69	165
468	72	172
469	77	181
470	82	188
471	85	198
472	90	208
473	94	217
474	97	225
475	37	-9
476	6	22
477	-3	10
478	22	9
479	5	13
480	1	-6
481	49	22
482	25	22
483	38	13
484	4	-5
485	14	10
486	12	13
487	22	19
488	13	15
489	0	-1
490	-4	-10
491	-4	-3
492	-11	-6
493	-4	-16
494	-3	-21
495	-10	-31
496	0	7
497	1	30
498	-3	10
499	-2	-3
500	-10	-14
501	-6	-20
502	4	-15
503	-6	-12
504	-15	-38
505	-5	-43
506	-3	-20
507	3	3
508	-4	21
509	6	27
510	-1	18
511	-1	11
512	0	-2
513	-5	-13
514	-12	-6
515	-3	-12
516	-3	-13
517	1	-13
518	6	1
519	8	3
520	4	2
521	2	2
522	0	0
523	0	0
524	0	0
525	0	0
526	0	0
527	0	0
528	23	0
529	16	16
530	26	9
531	46	15
532	14	-6
533	3	1
534	-2	-9
535	2	-2
536	0	-2
537	0	0
538	-4	-2
539	-11	3
540	0	-4
541	-1	-6
542	0	-3
543	0	0
544	4	11
545	0	2
546	4	2
547	2	5
548	5	1
549	6	1
550	0	0
551	-3	-2
552	-3	3
553	-2	3
554	6	2
555	3	-1
556	0	0
557	-3	-4
558	1	-1
559	2	-1
560	2	-1
561	-1	-2
562	-8	0
563	1	0
564	2	0
565	2	1
566	6	10
567	3	6
568	1	1
569	0	0
570	-3	1
571	-3	-18
572	3	6
573	3	3
574	-7	6
575	-5	-4
576	-8	-5
577	-3	-5
578	-6	1
579	-5	12
580	-1	2
581	-2	0
582	-2	2
583	0	9
584	2	13
585	1	3
586	0	2
587	-2	0
588	1	2
589	1	7
590	3	7
591	2	1
592	6	4
593	10	7
594	19	3
595	-1	-3
596	-2	-4
597	2	1
598	-7	0
599	-1	-1
600	3	-2
601	0	-1
602	-6	3
603	0	0
604	0	-3
605	-1	1
606	-8	-1
607	0	0
608	8	5
609	4	3
610	3	4
