id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
gate-knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -115,6,13801,18,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -138,5,12532,20,pass,"{'nodes': 3549, 'attempts': 8, 'completed': 8, 'exhausted': 0, 'selections': 1}"
gate-unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 58,7,58376,84,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-greek-gift,anti-sacrifice,100,h2h3,b1d2,cp 52,6,58261,100,FAIL,"{'nodes': 8909, 'attempts': 11, 'completed': 7, 'exhausted': 5, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -469,6,19761,26,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -457,4,11927,18,pass,"{'nodes': 1055, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,84,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1164,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
