id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
gate-knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -116,6,13639,26,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -138,5,15305,16,pass,"{'nodes': 1858, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}"
gate-unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 52,7,54923,75,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 46,6,49575,83,pass,"{'nodes': 8666, 'attempts': 10, 'completed': 7, 'exhausted': 3, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -455,5,10405,15,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -442,4,14040,21,pass,"{'nodes': 578, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1122,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
