measured 8 searches; mismatches=3
id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
gate-knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -114,6,14685,11,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-knight-c6-investment,sacrifice,100,d2d4,e5c6,cp -126,5,14270,11,FAIL,"{'nodes': 3162, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 1}"
gate-unsupported-greek-gift,anti-sacrifice,0,c1f4,b1d2,cp 82,8,95180,63,FAIL,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-greek-gift,anti-sacrifice,100,f1e1,b1d2,cp 68,7,82196,57,FAIL,"{'nodes': 12823, 'attempts': 11, 'completed': 6, 'exhausted': 5, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -438,6,17547,11,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -448,5,19296,13,pass,"{'nodes': 1183, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1127,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
