measured 8 searches; mismatches=0
id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
gate-knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -108,6,14519,11,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -141,5,13562,11,pass,"{'nodes': 1841, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}"
gate-unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 41,7,48883,34,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 49,6,50318,37,pass,"{'nodes': 8758, 'attempts': 10, 'completed': 6, 'exhausted': 4, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -429,6,15556,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -451,5,19878,14,pass,"{'nodes': 1310, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1128,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
