id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality,baseline_bestmove,baseline_score,baseline_depth,baseline_nodes,baseline_elapsed_ms,baseline_status,baseline_personality,move_changed,expected_hit_delta
forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1126,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",h5f7,mate 2,1,1126,1,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
kingside-pawn-storm,pawn-storm,0,f2f4,f2f4,cp 20,8,12943,12,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",f2f4,cp 20,8,13570,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
kingside-pawn-storm,pawn-storm,100,f2f4,f2f4,cp 20,8,19800,18,pass,"{'nodes': 6791, 'attempts': 15, 'completed': 13, 'exhausted': 2, 'selections': 0}",f2f4,cp 20,8,20000,10,pass,"{'nodes': 5519, 'attempts': 14, 'completed': 14, 'exhausted': 0, 'selections': 0}",False,0
central-queen-safety,safety,0,c3d5,c3d5,cp 1119,7,11466,6,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",c3d5,cp 1119,7,15984,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
central-queen-safety,safety,100,c3d5,c3d5,cp 1116,6,10895,7,pass,"{'nodes': 2069, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}",c3d5,cp 1116,6,12552,14,pass,"{'nodes': 2192, 'attempts': 6, 'completed': 6, 'exhausted': 0, 'selections': 0}",False,0
knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -113,6,13413,9,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",d2d4,cp -113,6,14357,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -135,5,13355,10,pass,"{'nodes': 2147, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}",e5c6,cp -135,5,13942,14,pass,"{'nodes': 2119, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}",False,0
unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 41,7,64169,60,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",b1d2,cp 48,7,79527,58,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 50,7,77923,58,pass,"{'nodes': 12820, 'attempts': 11, 'completed': 7, 'exhausted': 4, 'selections': 0}",b1d2,cp 43,6,50540,39,pass,"{'nodes': 8724, 'attempts': 10, 'completed': 7, 'exhausted': 3, 'selections': 0}",False,0
unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -450,6,14611,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",g1h1,cp -450,5,10179,7,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -450,5,19073,13,pass,"{'nodes': 1470, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",g1h1,cp -439,4,11496,8,pass,"{'nodes': 565, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
avoid-equal-queen-trade,simplification,0,d2d7,d2d7,cp 0,7,47178,16,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",d2d7,cp 0,7,47178,17,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}",False,0
measured 32 searches; mismatches=3
avoid-equal-queen-trade,simplification,100,d2e2,d2e2,cp 0,5,59146,21,pass,"{'nodes': 4866, 'attempts': 7, 'completed': 3, 'exhausted': 4, 'selections': 1}",d2e2,cp 0,5,59146,22,pass,"{'nodes': 4866, 'attempts': 7, 'completed': 3, 'exhausted': 4, 'selections': 1}",False,0
