measured 8 searches; mismatches=0
id,category,aggression,bestmove,expected,score,depth,nodes,elapsed_ms,status,personality
gate-knight-c6-investment,sacrifice,0,d2d4,d2d4,cp -113,6,13413,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-knight-c6-investment,sacrifice,100,e5c6,e5c6,cp -135,5,13355,11,pass,"{'nodes': 2147, 'attempts': 7, 'completed': 7, 'exhausted': 0, 'selections': 3}"
gate-unsupported-greek-gift,anti-sacrifice,0,b1d2,b1d2,cp 41,7,64169,47,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-greek-gift,anti-sacrifice,100,b1d2,b1d2,cp 50,7,77923,75,pass,"{'nodes': 12820, 'attempts': 11, 'completed': 7, 'exhausted': 4, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,0,g1h1,g1h1,cp -450,6,14611,10,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-unsupported-rook-f7,anti-sacrifice,100,g1h1,g1h1,cp -450,5,19073,13,pass,"{'nodes': 1470, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,0,h5f7,h5f7,mate 2,1,86,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
gate-forcing-mate-safety,safety,100,h5f7,h5f7,mate 2,1,1126,0,pass,"{'nodes': 0, 'attempts': 0, 'completed': 0, 'exhausted': 0, 'selections': 0}"
